device_id,refresh_day,cat_art,cat_edu,cat_ent,cat_finance,cat_game,cat_gj,cat_other,cat_party,cat_sh,cat_sport,cat_tech,cat_war
807e2c354a89044306f3fba2d43a58b6cef4f420,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a799d450d027ece,30,,,,,,,,,,,,
ce0917195ae4dc650c7e,30,,,,,,,,,,,,
CJL5T16317009093,30,,,,,,,,,,,,
0fe944dc9523d64a6209dc3ba2ef3d1c8ceec827,30,,,,,,,,,,,,
f075d254337e8c6d0e89b85b125764c012c0695f,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ddb904116041d867ef9a4e450784546272d8f6ce,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ab82e0ff7d20ff8dd801a21d6ac743dbd857141b,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
c5bd43ccea0db8629c445432185791b20db42868,30,,,,,,,,,,,,
73ac1bade59bf278af16bbc55cdd46c8f3f6c936,30,,,,,,,,,,,,
6f9f2c503218707f9583de850fd5470ce0e7f9d3,30,,,,,,,,,,,,
1299be43b6ad692574a24cab890602101d6f8082,30,,,,,,,,,,,,
3bb885be,30,,,,,,,,,,,,
CLB7N18329013407,30,,,,,,,,,,,,
8a71a1c9,30,,,,,,,,,,,,
9423ed82ba5cf3f51eca62226b58b1842300dacc,30,,,,,,,,,,,,
358ac741793d57f5093a821b45c01ef4e498c79e,30,,,,,,,,,,,,
29c74293c30381a8f65368babd5269819c2091da,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
a41a1cad6c9fad825de20906fd4a627e0e7810eb,30,,,,,,,,,,,,
1c6d3f7e7c176507293e5cc0a1dd9f50f0571d65,30,,,,,,,,,,,,
KWG7N16819004514,30,,,,,,,,,,,,
b6ecc630,30,,,,,,,,,,,,
DJUBB17A28160202,30,,,,,,,,,,,,
ce031713c3d5a4300d,30,,,,,,,,,,,,
06dadc924ebd0c7463d118c5065346d96e6d67ab,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
d77a49794b944e9d4cb7c3b31cdc1ac8ed7c7168,30,,,,,,,,,,,,
b710ededc2e81257436727b3c9f6c1f875a46d0f,30,,,,,,,,,,,,
80QBCNQ22JAA,30,,,,,,,,,,,,
5eee7833,30,,,,,,,,,,,,
d2c9a728e54836e74e6889abb1a14a84285da2d2,30,,,,,,,,,,,,
1dda051f,30,,,,,,,,,,,,
e344f9d6a2254d3a6c7ac2b33c3f27dfe0514e05,30,,,,,,,,,,,,
a05da37225f33d2cc444b864d0d5426c047c86f0,30,,,,,,,,,,,,
d6ae2cb35103afb5a4f96f7d2a465fb58e21eef6,30,,,,,,,,,,,,
9ab545317b9296fb91238460c49b17fe294b27bb,30,,,,,,,,,,,,
582cf17d,30,,,,,,,,,,,,
a7a878702d9bfb269c3cad243e043f56bde09c6c,30,,,,,,,,,,,,
3HX7N16C13014409,30,,,,,,,,,,,,
afcfbd97adf8ac6cd2c0aac70fb146553f5d7552,30,,,,,,,,,,,,
HKL47BC4,30,,,,,,,,,,,,
cf2fe0200603,30,,,,,,,,,,,,
fe5fb6ec1576cbc1f16635ce0d8b508db7249de2,30,,,,,,,,,,,,
d2ae3d628d3109120baea7d39780cff687a5eac0,30,,,,,,,,,,,,
777319fb12567b0158d0aca9529389418b1878e2,30,,,,,,,,,,,,
U10AFCPH235TW,30,,,,,,,,,,,,
ba30a8f4ac2727a5e08c90ed4181a7df41f6d1bb,30,,,,,,,,,,,,
f7a4ba8ee360d538f81a205146f77b887216b9a6,30,,,,,,,,,,,,
360d012,30,,,,,,,,,,,,
c0a7347a8699f91ca5773fba197a2ffe8b70cb5a,30,,,,,,,,,,,,
c0011e67d696c0ef7a6d25819c19097f9dc93130,30,,,,,,,,,,,,
902ce016,30,,,,,,,,,,,,
